"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_800000000_0.35_24_150_teratest_eefd5b8c-df14-44cf-9355-291f75e5925a.csv",,,,"Date:","03 May 2016 22:38:22 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.535,1.187,80.376,1.798,0.000,0.105,1878715.431,5663280.770,0.0,0.0,2094.299,2016.656,1550.721,1599.026,1462307902.140
0.0,0.0,99.750,0.250,0.0,0.0,0.0,73728.0,6672.0,5439.0,0.0,0.0,171.0,340.0,1462307903.141
0.250,0.0,99.750,0.0,0.0,0.0,0.0,4096.0,242.0,340.0,0.0,0.0,173.0,314.0,1462307904.141
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,310.0,1462307905.141
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,136.0,267.0,1462307906.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,286.0,1462307907.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,680.0,0.0,0.0,136.0,268.0,1462307908.141
0.375,0.0,99.125,0.500,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,180.0,310.0,1462307909.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,335872.0,470.0,1240.0,0.0,0.0,251.0,279.0,1462307910.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,295.0,1462307911.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,134.0,275.0,1462307912.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,283.0,1462307913.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,680.0,0.0,0.0,142.0,279.0,1462307914.141
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,158.0,309.0,1462307915.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,138.0,272.0,1462307916.141
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,325.0,1462307917.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1328.0,1382.0,0.0,0.0,136.0,270.0,1462307918.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,289.0,1462307919.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,932.0,680.0,0.0,0.0,144.0,269.0,1462307920.141
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,139.0,270.0,1462307921.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,854.0,1240.0,0.0,0.0,136.0,268.0,1462307922.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,289.0,1462307923.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,128.0,256.0,1462307924.141
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,259.0,1462307925.141
