"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_134217728_900000000_0.35_6_150_teratest_9e4b4b66-e9bd-4c6b-840b-1487e4283a84.csv",,,,"Date:","03 May 2016 20:26:45 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.533,1.185,80.386,1.791,0.000,0.105,1872053.934,5650534.163,0.0,0.0,2088.815,2016.457,1548.810,1597.616,1462300005.909
0.125,0.0,99.750,0.125,0.0,0.0,0.0,0.0,6395.0,5715.0,0.0,0.0,174.0,336.0,1462300006.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,147.0,283.0,1462300007.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,273.0,1462300008.910
0.0,0.0,99.875,0.125,0.0,0.0,0.0,53248.0,676.0,680.0,0.0,0.0,163.0,309.0,1462300009.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,285.0,1462300010.910
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,189.0,324.0,1462300011.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,286.0,1462300012.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,141.0,276.0,1462300013.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,305.0,1462300014.910
0.624,0.0,99.126,0.250,0.0,0.0,0.0,24576.0,676.0,1026.0,0.0,0.0,212.0,360.0,1462300015.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,484.0,900.0,0.0,0.0,139.0,265.0,1462300016.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,273.0,1462300017.910
0.375,0.0,99.625,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,199.0,354.0,1462300018.910
0.250,0.0,99.750,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,183.0,325.0,1462300019.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,270.0,1462300020.910
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,840.0,1580.0,0.0,0.0,161.0,303.0,1462300021.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,150.0,292.0,1462300022.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,283.0,1462300023.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,167936.0,420.0,680.0,0.0,0.0,216.0,297.0,1462300024.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,283.0,1462300025.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1586.0,0.0,0.0,146.0,283.0,1462300026.910
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,159.0,300.0,1462300027.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,790.0,1240.0,0.0,0.0,145.0,274.0,1462300028.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,61440.0,434.0,340.0,0.0,0.0,174.0,280.0,1462300029.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,293.0,1462300030.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1368.0,0.0,0.0,146.0,278.0,1462300031.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,275.0,1462300032.910
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,484.0,744.0,0.0,0.0,168.0,304.0,1462300033.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,290.0,1462300034.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,726.0,1240.0,0.0,0.0,141.0,275.0,1462300035.910
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,280.0,1462300036.910
