"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_3000000000_0.35_24_150_teratest_8148366a-7f37-44fc-bf80-fc801cd56615.csv",,,,"Date:","01 May 2016 16:46:14 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.688,1.188,80.319,1.702,0.000,0.104,1815386.655,5558843.553,0.0,0.0,1945.072,1834.848,1544.033,1594.156,1462113974.680
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,6109.0,4479.0,0.0,0.0,180.0,351.0,1462113975.681
0.0,0.125,99.626,0.249,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,149.0,288.0,1462113976.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,680.0,0.0,0.0,135.0,271.0,1462113977.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,900.0,0.0,0.0,152.0,295.0,1462113978.681
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,263.0,1462113979.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,356.0,680.0,0.0,0.0,136.0,274.0,1462113980.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,284.0,1462113981.681
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,854.0,1240.0,0.0,0.0,153.0,296.0,1462113982.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,278.0,1462113983.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,854.0,1240.0,0.0,0.0,148.0,284.0,1462113984.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,267.0,1462113985.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,548.0,1026.0,0.0,0.0,142.0,291.0,1462113986.681
0.0,0.125,99.501,0.375,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,157.0,308.0,1462113987.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,126976.0,406.0,1240.0,0.0,0.0,193.0,280.0,1462113988.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,267.0,1462113989.681
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,470.0,1304.0,0.0,0.0,154.0,302.0,1462113990.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,269.0,1462113991.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,228.0,808.0,0.0,0.0,136.0,267.0,1462113992.681
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,150.0,295.0,1462113993.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,140.0,281.0,1462113994.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,134.0,270.0,1462113995.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,286.0,1462113996.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,135.0,270.0,1462113997.681
0.0,0.0,99.875,0.125,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,153.0,298.0,1462113998.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,854.0,1240.0,0.0,0.0,144.0,275.0,1462113999.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,268.0,1462114000.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,804.0,1090.0,0.0,0.0,136.0,272.0,1462114001.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,301.0,1462114002.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,130.0,263.0,1462114003.681
0.0,0.0,99.875,0.125,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,138.0,280.0,1462114004.681
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,139.0,279.0,1462114005.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,285.0,1462114006.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,1026.0,0.0,0.0,138.0,278.0,1462114007.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,145.0,280.0,1462114008.681
0.0,0.0,99.750,0.250,0.0,0.0,0.0,45056.0,406.0,1240.0,0.0,0.0,138.0,276.0,1462114009.681
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,280.0,1462114010.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,342.0,1240.0,0.0,0.0,139.0,276.0,1462114011.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,264.0,1462114012.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,484.0,680.0,0.0,0.0,133.0,269.0,1462114013.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,297.0,1462114014.681
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,790.0,1240.0,0.0,0.0,146.0,285.0,1462114015.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,270.0,1462114016.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,918.0,1586.0,0.0,0.0,144.0,283.0,1462114017.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,151.0,279.0,1462114018.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,484.0,680.0,0.0,0.0,134.0,267.0,1462114019.681
0.0,0.0,99.750,0.250,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,148.0,293.0,1462114020.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,406.0,1240.0,0.0,0.0,131.0,268.0,1462114021.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,291.0,1462114022.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,40960.0,406.0,1240.0,0.0,0.0,164.0,294.0,1462114023.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,270.0,1462114024.681
0.0,0.0,99.625,0.375,0.0,0.0,0.0,32768.0,292.0,680.0,0.0,0.0,143.0,290.0,1462114025.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,300.0,1462114026.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,133.0,261.0,1462114027.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,274.0,1462114028.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,598.0,1240.0,0.0,0.0,139.0,278.0,1462114029.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,278.0,1462114030.681
0.0,0.0,99.875,0.125,0.0,0.0,0.0,16384.0,612.0,680.0,0.0,0.0,149.0,294.0,1462114031.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,296.0,1462114032.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,8192.0,1046.0,1586.0,0.0,0.0,143.0,273.0,1462114033.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,280.0,1462114034.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,790.0,1240.0,0.0,0.0,142.0,276.0,1462114035.681
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,142.0,279.0,1462114036.681
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,680.0,0.0,0.0,130.0,264.0,1462114037.681
