"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_300000000_0.35_6_150_teratest_9284b658-ee1b-4f45-afdd-2baabbbe1f28.csv",,,,"Date:","09 May 2016 21:42:41 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.998,1.161,80.892,1.845,0.000,0.104,1886911.554,5703487.315,0.0,0.0,2239.257,2094.886,1530.036,1577.687,1462822961.247
0.125,0.0,99.501,0.375,0.0,0.0,0.0,192512.0,0.0,0.0,0.0,0.0,181.0,349.0,1462822962.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5973.0,4237.0,0.0,0.0,165.0,316.0,1462822963.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,283.0,1462822964.248
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,152.0,289.0,1462822965.248
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,296.0,1462822966.248
0.0,0.125,95.381,4.494,0.0,0.0,0.0,1609728.0,403.0,1217.0,0.0,0.0,263.0,326.0,1462822967.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,282.0,1462822968.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,658.0,0.0,0.0,168.0,315.0,1462822969.248
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,304.0,1462822970.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,787.0,1217.0,0.0,0.0,160.0,301.0,1462822971.248
0.0,0.125,99.375,0.500,0.0,0.0,0.0,393216.0,0.0,0.0,0.0,0.0,193.0,327.0,1462822972.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1107.0,1217.0,0.0,0.0,149.0,281.0,1462822973.248
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,279.0,1462822974.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,674.0,658.0,0.0,0.0,173.0,321.0,1462822975.248
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,287.0,1462822976.248
0.0,0.0,99.750,0.250,0.0,0.0,0.0,32768.0,877.0,1217.0,0.0,0.0,158.0,300.0,1462822977.248
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,294.0,1462822978.248
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,160.0,315.0,1462822979.248
