"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_400000000_0.35_6_100_teratest_80ae70d5-f675-454d-b871-0745d8163b89.csv",,,,"Date:","09 May 2016 19:34:01 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.997,1.160,80.896,1.843,0.000,0.104,1886282.624,5689298.132,0.0,0.0,2240.273,2092.740,1528.088,1576.221,1462815241.531
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,6086.0,4796.0,0.0,0.0,177.0,339.0,1462815242.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,179.0,314.0,1462815243.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,148.0,284.0,1462815244.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,310.0,1462815245.532
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,290.0,658.0,0.0,0.0,157.0,292.0,1462815246.532
0.0,0.0,99.875,0.125,0.0,0.0,0.0,53248.0,354.0,888.0,0.0,0.0,174.0,324.0,1462815247.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,274432.0,0.0,0.0,0.0,0.0,155.0,287.0,1462815248.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,354.0,1004.0,0.0,0.0,159.0,298.0,1462815249.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,280.0,1462815250.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,179.0,316.0,1462815251.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,314.0,1462815252.532
0.125,0.0,99.625,0.250,0.0,0.0,0.0,335872.0,1288.0,2128.0,0.0,0.0,254.0,305.0,1462815253.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,174.0,311.0,1462815254.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,241.0,329.0,0.0,0.0,218.0,363.0,1462815255.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,282.0,1462815256.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,994.0,1287.0,0.0,0.0,162.0,296.0,1462815257.532
0.125,0.125,99.751,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,163.0,293.0,1462815258.532
0.0,0.0,99.750,0.250,0.0,0.0,0.0,49152.0,857.0,1287.0,0.0,0.0,172.0,314.0,1462815259.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,280.0,1462815260.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,866.0,1004.0,0.0,0.0,160.0,290.0,1462815261.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,296.0,1462815262.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1171.0,1217.0,0.0,0.0,161.0,303.0,1462815263.532
0.0,0.0,99.500,0.500,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,165.0,306.0,1462815264.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,851.0,1281.0,0.0,0.0,156.0,293.0,1462815265.532
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,284.0,1462815266.532
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,786.0,0.0,0.0,169.0,326.0,1462815267.532
