"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_600000000_0.35_12_100_teratest_e42af37e-4895-4806-a3fd-7b2099ae21b0.csv",,,,"Date:","10 May 2016 23:41:24 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.931,1.161,80.920,1.884,0.000,0.104,1919270.509,5785651.323,0.0,0.0,2228.665,2091.522,1533.679,1579.886,1462916485.103
0.250,0.625,88.250,10.750,0.0,0.125,6848512.0,0.0,0.0,0.0,0.0,0.0,3386.0,5898.0,1462916486.104
0.251,0.376,89.335,9.912,0.0,0.125,6889472.0,0.0,403.0,1217.0,0.0,0.0,3426.0,5984.0,1462916487.104
0.125,0.501,89.223,10.150,0.0,0.0,6004736.0,0.0,0.0,0.0,0.0,0.0,3029.0,5219.0,1462916488.104
0.125,0.250,88.764,10.861,0.0,0.0,1253376.0,0.0,226.0,658.0,0.0,0.0,894.0,1560.0,1462916489.104
0.125,0.375,88.986,10.388,0.0,0.125,4775936.0,0.0,0.0,0.0,0.0,0.0,2502.0,4325.0,1462916490.104
0.125,0.0,94.981,4.893,0.0,0.0,3981312.0,12288.0,339.0,1217.0,0.0,0.0,2007.0,3516.0,1462916491.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,294.0,1462916492.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,155.0,293.0,1462916493.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,282.0,1462916494.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,290.0,658.0,0.0,0.0,163.0,313.0,1462916495.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,277.0,1462916496.104
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,595.0,1217.0,0.0,0.0,157.0,306.0,1462916497.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,12288.0,305.0,329.0,0.0,0.0,162.0,299.0,1462916498.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,297.0,1462916499.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,851.0,1217.0,0.0,0.0,152.0,288.0,1462916500.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,459.0,419.0,0.0,0.0,164.0,303.0,1462916501.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,482.0,978.0,0.0,0.0,152.0,289.0,1462916502.104
0.250,0.0,99.500,0.250,0.0,0.0,4096.0,188416.0,0.0,0.0,0.0,0.0,241.0,329.0,1462916503.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,764.0,658.0,0.0,0.0,171.0,302.0,1462916504.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,293.0,1462916505.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,519.0,1217.0,0.0,0.0,147.0,292.0,1462916506.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,309.0,1462916507.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,148.0,277.0,1462916508.104
0.0,0.0,99.750,0.250,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,153.0,291.0,1462916509.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,380.0,658.0,0.0,0.0,159.0,310.0,1462916510.104
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,293.0,1462916511.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,141.0,275.0,1462916512.104
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,329.0,0.0,0.0,181.0,317.0,1462916513.104
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,276.0,1462916514.104
0.125,0.250,96.875,2.750,0.0,0.0,12042240.0,16384.0,30097.0,4390888.0,0.0,0.0,1309.0,626.0,1462916515.104
