"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_268435456_800000000_0.35_6_150_teratest_992e4935-ed26-455a-9900-67dd316941e1.csv",,,,"Date:","04 May 2016 09:45:11 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.542,1.193,80.288,1.871,0.000,0.106,1928749.258,5768005.637,0.0,0.0,2318.346,2132.055,1563.470,1610.347,1462347911.182
0.0,0.0,99.750,0.250,0.0,0.0,0.0,73728.0,0.0,0.0,0.0,0.0,156.0,308.0,1462347912.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,676.0,680.0,0.0,0.0,128.0,266.0,1462347913.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,292.0,900.0,0.0,0.0,134.0,261.0,1462347914.183
0.0,0.125,99.875,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,136.0,275.0,1462347915.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,420.0,680.0,0.0,0.0,126.0,258.0,1462347916.183
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,258.0,1462347917.183
0.0,0.0,99.750,0.250,0.0,0.0,0.0,24576.0,470.0,1240.0,0.0,0.0,151.0,295.0,1462347918.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,266.0,1462347919.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,342.0,1240.0,0.0,0.0,147.0,267.0,1462347920.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,114.0,340.0,0.0,0.0,136.0,279.0,1462347921.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,270.0,1462347922.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,662.0,1240.0,0.0,0.0,141.0,288.0,1462347923.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,134.0,271.0,1462347924.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,251.0,1462347925.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1096.0,1580.0,0.0,0.0,155.0,289.0,1462347926.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,271.0,1462347927.183
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,932.0,680.0,0.0,0.0,145.0,287.0,1462347928.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,284.0,1462347929.183
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,820.0,1334.0,0.0,0.0,132.0,268.0,1462347930.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,178.0,340.0,0.0,0.0,129.0,270.0,1462347931.183
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,273.0,1462347932.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,470.0,1240.0,0.0,0.0,129.0,267.0,1462347933.183
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,268.0,1462347934.183
0.0,0.0,99.875,0.125,0.0,0.0,4096.0,217088.0,0.0,0.0,0.0,0.0,210.0,291.0,1462347935.183
