"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_300000000_0.35_24_150_teratest_698227af-7851-4f7e-8da3-bd93e8f47505.csv",,,,"Date:","09 May 2016 14:05:46 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.982,1.157,80.923,1.835,0.000,0.103,1883283.614,5639991.374,0.0,0.0,2240.451,2090.643,1522.085,1570.923,1462795546.328
0.125,0.249,99.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,353.0,1462795547.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,290.0,658.0,0.0,0.0,145.0,276.0,1462795548.329
0.125,0.0,99.624,0.251,0.0,0.0,0.0,512000.0,0.0,0.0,0.0,0.0,265.0,319.0,1462795549.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,144.0,279.0,1462795550.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,300.0,1462795551.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1217.0,0.0,0.0,162.0,306.0,1462795552.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,283.0,1462795553.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,1585152.0,226.0,1004.0,0.0,0.0,158.0,291.0,1462795554.329
0.125,0.0,99.376,0.499,0.0,0.0,139264.0,57344.0,0.0,0.0,0.0,0.0,242.0,348.0,1462795555.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,150.0,291.0,1462795556.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,288.0,1462795557.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,153.0,291.0,1462795558.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,184.0,328.0,1462795559.329
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,418.0,658.0,0.0,0.0,164.0,303.0,1462795560.329
0.0,0.0,99.875,0.125,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,176.0,307.0,1462795561.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1235.0,1217.0,0.0,0.0,153.0,285.0,1462795562.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,314.0,1462795563.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,28672.0,1043.0,1217.0,0.0,0.0,188.0,319.0,1462795564.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,284.0,1462795565.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,738.0,1004.0,0.0,0.0,159.0,295.0,1462795566.329
0.0,0.0,99.875,0.125,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,192.0,342.0,1462795567.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,979.0,1217.0,0.0,0.0,189.0,327.0,1462795568.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,291.0,1462795569.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,915.0,1217.0,0.0,0.0,157.0,295.0,1462795570.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,298.0,1462795571.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,674.0,658.0,0.0,0.0,156.0,291.0,1462795572.329
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,166.0,309.0,1462795573.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,217088.0,595.0,1217.0,0.0,0.0,233.0,287.0,1462795574.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,305.0,1462795575.329
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,621.0,1217.0,0.0,0.0,161.0,305.0,1462795576.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,291.0,1462795577.329
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,444.0,658.0,0.0,0.0,144.0,283.0,1462795578.329
0.0,0.0,99.750,0.250,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,176.0,329.0,1462795579.329
