"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_400000000_0.35_6_100_teratest_8aae7e3a-ceea-4ae8-bca0-a75d6b077401.csv",,,,"Date:","09 May 2016 12:39:05 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.978,1.156,80.930,1.834,0.000,0.103,1881982.552,5627716.383,0.0,0.0,2241.051,2090.998,1520.452,1569.569,1462790345.984
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,6365.0,5815.0,0.0,0.0,192.0,361.0,1462790346.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,283.0,1462790347.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,595.0,1217.0,0.0,0.0,146.0,279.0,1462790348.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,296.0,1462790349.985
0.0,0.0,99.625,0.375,0.0,0.0,0.0,573440.0,0.0,0.0,0.0,0.0,177.0,319.0,1462790350.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,772.0,1546.0,0.0,0.0,152.0,285.0,1462790351.985
0.0,0.0,99.750,0.250,0.0,0.0,69632.0,0.0,0.0,0.0,0.0,0.0,180.0,301.0,1462790352.985
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,595.0,1563.0,0.0,0.0,154.0,287.0,1462790353.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,323.0,1462790354.985
0.125,0.0,99.501,0.374,0.0,0.0,0.0,49152.0,482.0,658.0,0.0,0.0,181.0,321.0,1462790355.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,286.0,1462790356.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,723.0,1217.0,0.0,0.0,177.0,315.0,1462790357.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,336.0,1462790358.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,723.0,1217.0,0.0,0.0,189.0,321.0,1462790359.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,285.0,1462790360.985
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,802.0,658.0,0.0,0.0,167.0,307.0,1462790361.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,304.0,1462790362.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1043.0,1217.0,0.0,0.0,155.0,284.0,1462790363.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,305.0,329.0,0.0,0.0,157.0,292.0,1462790364.985
0.0,0.125,99.875,0.0,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,164.0,290.0,1462790365.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,467.0,1217.0,0.0,0.0,164.0,316.0,1462790366.984
0.0,0.0,99.750,0.250,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,166.0,308.0,1462790367.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1563.0,0.0,0.0,145.0,278.0,1462790368.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,284.0,1462790369.985
0.125,0.0,99.750,0.125,0.0,0.0,4096.0,135168.0,605.0,658.0,0.0,0.0,230.0,325.0,1462790370.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,284.0,1462790371.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1281.0,0.0,0.0,148.0,285.0,1462790372.985
0.0,0.0,99.875,0.125,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,168.0,310.0,1462790373.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,403.0,1345.0,0.0,0.0,158.0,302.0,1462790374.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,69632.0,0.0,0.0,0.0,0.0,185.0,292.0,1462790375.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,418.0,658.0,0.0,0.0,171.0,315.0,1462790376.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,295.0,1462790377.985
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,164.0,305.0,1462790378.985
0.125,0.250,99.375,0.250,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,1187.0,766.0,1462790379.985
0.125,0.0,99.875,0.0,0.0,0.0,0.0,65536.0,30369.0,4368356.0,0.0,0.0,322.0,410.0,1462790380.985
2.375,1.0,94.875,1.750,0.0,0.0,1224704.0,0.0,0.0,0.0,0.0,0.0,1704.0,2247.0,1462790381.985
14.143,1.001,83.104,1.752,0.0,0.0,602112.0,0.0,532905.0,110432.0,0.0,0.0,1447.0,968.0,1462790382.985
29.537,1.001,68.961,0.501,0.0,0.0,94208.0,0.0,290.0,924.0,0.0,0.0,2062.0,867.0,1462790383.985
16.375,0.750,81.625,1.250,0.0,0.0,540672.0,262144.0,904.0,821.0,0.0,0.0,970.0,792.0,1462790384.985
16.226,0.755,80.755,2.264,0.0,0.0,1835008.0,1093632.0,0.0,0.0,0.0,0.0,1503.0,1254.0,1462790385.985
10.957,0.378,85.516,3.149,0.0,0.0,2531328.0,0.0,294220.0,7890.0,0.0,0.0,1119.0,1228.0,1462790386.985
20.025,0.504,77.834,1.637,0.0,0.0,1937408.0,0.0,0.0,0.0,0.0,0.0,2060.0,2174.0,1462790387.984
26.817,0.627,71.679,0.877,0.0,0.0,450560.0,0.0,2135.0,3159.0,0.0,0.0,2859.0,2621.0,1462790388.985
2.879,0.375,96.370,0.375,0.0,0.0,348160.0,188416.0,0.0,0.0,0.0,0.0,548.0,857.0,1462790389.985
56.131,5.689,37.674,0.506,0.0,0.0,561152.0,1806336.0,13466.0,7340.0,0.0,0.0,7021.0,7467.0,1462790390.985
94.612,4.135,1.253,0.0,0.0,0.0,0.0,0.0,22532.0,78916.0,0.0,0.0,3652.0,2350.0,1462790391.985
96.875,3.125,0.0,0.0,0.0,0.0,77824.0,0.0,0.0,0.0,0.0,0.0,3192.0,2079.0,1462790392.985
94.618,5.131,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,3316.0,2840.0,1462790393.985
92.991,5.632,1.377,0.0,0.0,0.0,12288.0,0.0,7561.0,102788.0,0.0,0.0,3209.0,2391.0,1462790394.985
96.750,3.125,0.0,0.0,0.0,0.125,4096.0,393216.0,11238.0,10274.0,0.0,0.0,3237.0,3252.0,1462790395.985
97.625,2.375,0.0,0.0,0.0,0.0,0.0,0.0,11619.0,10429.0,0.0,0.0,2686.0,4342.0,1462790396.985
93.451,4.534,1.889,0.126,0.0,0.0,8192.0,0.0,1094.0,1651.0,0.0,0.0,3010.0,2836.0,1462790397.985
86.324,11.543,1.882,0.125,0.0,0.125,11980800.0,0.0,0.0,0.0,0.0,0.0,3230.0,3271.0,1462790398.985
86.017,6.617,2.622,3.496,0.0,1.248,49774592.0,0.0,66214.0,14823.0,0.0,0.0,6858.0,13087.0,1462790399.985
83.102,4.161,5.170,6.810,0.0,0.757,66228224.0,151552.0,0.0,0.0,0.0,0.0,5704.0,5599.0,1462790400.985
