"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/2_67108864_400000000_0.35_6_150_teratest_e1860b95-5bb2-40d9-9197-98ecf9f213ec.csv",,,,"Date:","09 May 2016 13:11:27 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
15.980,1.156,80.926,1.835,0.000,0.103,1882507.180,5633912.352,0.0,0.0,2240.714,2091.170,1521.178,1570.256,1462792287.830
0.125,0.0,97.997,1.877,0.0,0.0,0.0,1785856.0,0.0,0.0,0.0,0.0,214.0,347.0,1462792288.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4277.0,3097.0,0.0,0.0,175.0,314.0,1462792289.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,302.0,1462792290.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,531.0,1217.0,0.0,0.0,151.0,287.0,1462792291.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,287.0,1462792292.831
0.125,0.0,99.501,0.375,0.0,0.0,0.0,65536.0,290.0,658.0,0.0,0.0,166.0,311.0,1462792293.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,296.0,1462792294.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,595.0,1217.0,0.0,0.0,165.0,293.0,1462792295.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,310.0,1462792296.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,915.0,1217.0,0.0,0.0,150.0,282.0,1462792297.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,307.0,1462792298.831
0.0,0.0,99.749,0.251,0.0,0.0,0.0,20480.0,994.0,1004.0,0.0,0.0,201.0,339.0,1462792299.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,276.0,1462792300.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,979.0,1217.0,0.0,0.0,150.0,287.0,1462792301.831
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,317.0,1462792302.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,595.0,1217.0,0.0,0.0,154.0,288.0,1462792303.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,284.0,1462792304.831
0.0,0.0,99.625,0.375,0.0,0.0,0.0,12288.0,354.0,658.0,0.0,0.0,164.0,306.0,1462792305.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,300.0,1462792306.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,148.0,286.0,1462792307.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,293.0,1462792308.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,339.0,1217.0,0.0,0.0,145.0,281.0,1462792309.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,177.0,329.0,0.0,0.0,152.0,299.0,1462792310.831
0.125,0.0,99.750,0.125,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,168.0,312.0,1462792311.831
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,467.0,1563.0,0.0,0.0,146.0,283.0,1462792312.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,285.0,1462792313.831
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,290.0,658.0,0.0,0.0,167.0,313.0,1462792314.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,302.0,1462792315.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,583.0,1307.0,0.0,0.0,151.0,289.0,1462792316.831
0.0,0.0,99.750,0.250,0.0,0.0,0.0,61440.0,0.0,0.0,0.0,0.0,185.0,327.0,1462792317.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,49152.0,595.0,1217.0,0.0,0.0,204.0,325.0,1462792318.831
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,279.0,1462792319.830
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,918.0,748.0,0.0,0.0,154.0,286.0,1462792320.831
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,8544.0,1261673.0,0.0,0.0,504.0,459.0,1462792321.831
0.125,0.0,99.499,0.376,0.0,0.0,0.0,86016.0,0.0,0.0,0.0,0.0,482.0,533.0,1462792322.831
0.0,0.125,100.0,-0.125,0.0,0.0,0.0,618496.0,525589.0,705410.0,0.0,0.0,359.0,376.0,1462792323.831
13.016,2.128,84.355,0.501,0.0,0.0,405504.0,0.0,0.0,0.0,0.0,0.0,2426.0,2528.0,1462792324.831
25.815,0.752,73.434,0.0,0.0,0.0,36864.0,0.0,15606.0,8336.0,0.0,0.0,1549.0,802.0,1462792325.831
19.925,1.121,77.958,0.872,0.0,0.125,376832.0,0.0,0.0,0.0,0.0,0.0,1241.0,775.0,1462792326.831
17.817,0.627,80.803,0.753,0.0,0.0,1130496.0,0.0,1789.0,3529.0,0.0,0.0,1042.0,972.0,1462792327.831
13.819,0.251,84.296,1.633,0.0,0.0,2117632.0,262144.0,0.0,0.0,0.0,0.0,1042.0,1028.0,1462792328.831
23.684,0.877,74.561,0.877,0.0,0.0,1294336.0,0.0,2631.0,2415.0,0.0,0.0,2430.0,2252.0,1462792329.831
23.596,0.375,75.780,0.125,0.0,0.125,385024.0,0.0,2472.0,4860.0,0.0,0.0,2237.0,2076.0,1462792330.831
2.008,0.0,97.992,0.0,0.0,0.0,73728.0,0.0,1131.0,1854.0,0.0,0.0,562.0,698.0,1462792331.831
73.325,7.206,18.963,0.379,0.0,0.126,348160.0,0.0,30641.0,70009.0,0.0,0.0,6495.0,7473.0,1462792332.831
95.107,3.513,1.380,0.0,0.0,0.0,0.0,376832.0,3027.0,13189.0,0.0,0.0,3279.0,2121.0,1462792333.831
96.375,3.625,0.0,0.0,0.0,0.0,0.0,0.0,1444.0,2211.0,0.0,0.0,3100.0,2635.0,1462792334.831
94.625,5.375,0.0,0.0,0.0,0.0,0.0,0.0,4009.0,3437.0,0.0,0.0,3089.0,2048.0,1462792335.831
94.856,4.517,0.627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3237.0,2600.0,1462792336.831
