"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_134217728_300000000_0.35_6.csv",,,,"Date:","28 Mar 2016 11:06:09 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.283,1.406,75.761,1.440,0.000,0.110,1827966.631,5747400.944,0.0,0.0,1355.858,1305.795,1694.319,1729.711,1459155969.388
0.249,0.0,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,329.0,1459155970.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,746.0,0.0,0.0,163.0,302.0,1459155971.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,283.0,1459155972.389
0.125,0.0,96.125,3.750,0.0,0.0,0.0,606208.0,664.0,1370.0,0.0,0.0,277.0,286.0,1459155973.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,291.0,1459155974.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,163.0,303.0,1459155975.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,287.0,1459155976.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,486.0,1092.0,0.0,0.0,153.0,286.0,1459155977.389
0.0,0.0,99.625,0.375,0.0,0.0,0.0,36864.0,293.0,901.0,0.0,0.0,164.0,305.0,1459155978.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,286.0,1459155979.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,678.0,682.0,0.0,0.0,153.0,288.0,1459155980.388
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,485.0,901.0,0.0,0.0,147.0,271.0,1459155981.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,274.0,1459155982.389
0.125,0.0,99.751,0.125,0.0,0.0,0.0,12288.0,870.0,682.0,0.0,0.0,167.0,310.0,1459155983.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,273.0,1459155984.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,792.0,1242.0,0.0,0.0,143.0,267.0,1459155985.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,288.0,1459155986.389
0.250,0.0,99.750,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,184.0,312.0,1459155987.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,280.0,1459155988.389
0.0,0.0,99.875,0.125,0.0,0.0,0.0,12288.0,294.0,682.0,0.0,0.0,157.0,301.0,1459155989.389
0.499,0.0,99.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,333.0,1459155990.389
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,344.0,1588.0,0.0,0.0,147.0,282.0,1459155991.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,305.0,1459155992.389
0.375,0.0,99.625,0.0,0.0,0.0,0.0,159744.0,536.0,1242.0,0.0,0.0,257.0,314.0,1459155993.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,306.0,1459155994.389
0.125,0.0,99.500,0.375,0.0,0.0,0.0,49152.0,230.0,776.0,0.0,0.0,170.0,323.0,1459155995.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,277.0,1459155996.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1242.0,0.0,0.0,142.0,276.0,1459155997.389
0.125,0.125,99.751,0.0,0.0,0.0,0.0,65536.0,115.0,341.0,0.0,0.0,180.0,298.0,1459155998.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,281.0,1459155999.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,142.0,276.0,1459156000.389
0.0,0.0,99.750,0.250,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,170.0,312.0,1459156001.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,664.0,1242.0,0.0,0.0,147.0,279.0,1459156002.389
0.250,0.0,99.750,0.0,0.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,238.0,356.0,1459156003.389
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,336115.0,338089.0,0.0,0.0,416.0,510.0,1459156004.389
0.125,0.125,99.750,0.0,0.0,0.0,0.0,0.0,121049.0,98338.0,0.0,0.0,230.0,338.0,1459156005.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,270.0,1459156006.389
0.125,0.0,99.500,0.375,0.0,0.0,0.0,69632.0,372.0,746.0,0.0,0.0,167.0,314.0,1459156007.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,540672.0,0.0,0.0,0.0,0.0,201.0,284.0,1459156008.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,550.0,1242.0,0.0,0.0,142.0,265.0,1459156009.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,293.0,1459156010.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1176.0,1242.0,0.0,0.0,158.0,282.0,1459156011.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,563.0,341.0,0.0,0.0,148.0,273.0,1459156012.389
0.125,0.0,99.625,0.250,0.0,0.0,0.0,57344.0,0.0,0.0,0.0,0.0,166.0,302.0,1459156013.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1048.0,1588.0,0.0,0.0,147.0,278.0,1459156014.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,288.0,1459156015.389
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,486.0,682.0,0.0,0.0,153.0,289.0,1459156016.389
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,421.0,901.0,0.0,0.0,143.0,274.0,1459156017.389
0.125,0.0,99.750,0.125,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,188.0,316.0,1459156018.389
4.534,1.637,89.798,4.030,0.0,0.0,663552.0,0.0,20635.0,101256.0,356352.0,0.0,2588.0,3163.0,1459156019.389
72.383,7.440,18.411,1.765,0.0,0.0,253952.0,0.0,16287.0,6020.0,212992.0,0.0,4616.0,5238.0,1459156020.389
96.617,3.383,0.0,0.0,0.0,0.0,32768.0,0.0,64.0,0.0,32768.0,0.0,2489.0,6447.0,1459156021.389
96.504,3.496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.0,2079.0,1459156022.389
