"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_16640000_200000000_0.05_48.csv",,,,"Date:","29 Mar 2016 04:06:16 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
21.293,1.425,75.656,1.512,0.000,0.114,1870972.646,5988604.802,0.0,0.0,1530.289,1440.681,1736.045,1769.326,1459217176.484
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6171.0,5377.0,0.0,0.0,145.0,293.0,1459217177.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,257.0,1459217178.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,153.0,301.0,1459217179.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,139.0,273.0,1459217180.485
0.125,0.0,99.750,0.125,0.0,0.0,0.0,53248.0,566.0,1336.0,0.0,0.0,142.0,275.0,1459217181.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,273.0,1459217182.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,536.0,1242.0,0.0,0.0,140.0,279.0,1459217183.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,262.0,1459217184.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,742.0,682.0,0.0,0.0,142.0,272.0,1459217185.485
0.125,0.125,99.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,266.0,1459217186.485
0.0,0.0,99.750,0.250,0.0,0.0,0.0,12288.0,856.0,1242.0,0.0,0.0,148.0,284.0,1459217187.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,289.0,1459217188.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,1048.0,1242.0,0.0,0.0,133.0,258.0,1459217189.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,261.0,1459217190.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,550.0,1028.0,0.0,0.0,146.0,286.0,1459217191.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,268.0,1459217192.485
0.125,0.0,99.500,0.375,0.0,0.0,0.0,20480.0,536.0,1242.0,0.0,0.0,139.0,271.0,1459217193.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,277.0,1459217194.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,28672.0,472.0,1242.0,0.0,0.0,150.0,280.0,1459217195.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,277.0,1459217196.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,230.0,682.0,0.0,0.0,133.0,265.0,1459217197.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,261.0,1459217198.485
0.125,0.0,99.750,0.125,0.0,0.0,0.0,20480.0,344.0,1242.0,0.0,0.0,144.0,282.0,1459217199.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,272.0,1459217200.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,344.0,1588.0,0.0,0.0,132.0,263.0,1459217201.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,179.0,341.0,0.0,0.0,128.0,261.0,1459217202.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,284.0,1459217203.485
0.125,0.0,99.625,0.250,0.0,0.0,0.0,20480.0,472.0,1242.0,0.0,0.0,139.0,274.0,1459217204.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,98304.0,0.0,0.0,0.0,0.0,167.0,254.0,1459217205.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,294.0,810.0,0.0,0.0,151.0,286.0,1459217206.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,273.0,1459217207.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,408.0,1306.0,0.0,0.0,129.0,264.0,1459217208.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,115.0,341.0,0.0,0.0,133.0,268.0,1459217209.485
0.0,0.0,99.750,0.250,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,147.0,268.0,1459217210.485
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,3126.0,4266.0,0.0,0.0,211.0,344.0,1459217211.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,463.0,1459217212.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,485101.0,296571.0,0.0,0.0,136.0,266.0,1459217213.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,268.0,1459217214.485
0.0,0.0,99.501,0.499,0.0,0.0,0.0,614400.0,870.0,682.0,0.0,0.0,186.0,299.0,1459217215.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,275.0,1459217216.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,984.0,1242.0,0.0,0.0,137.0,262.0,1459217217.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,283.0,1459217218.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,984.0,1242.0,0.0,0.0,136.0,269.0,1459217219.485
0.125,0.0,99.625,0.250,0.0,0.0,0.0,45056.0,0.0,0.0,0.0,0.0,131.0,265.0,1459217220.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,550.0,682.0,0.0,0.0,138.0,276.0,1459217221.485
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,272.0,1459217222.485
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,344.0,1242.0,0.0,0.0,131.0,268.0,1459217223.485
8.820,2.609,82.236,6.211,0.0,0.124,643072.0,0.0,0.0,0.0,344064.0,0.0,3649.0,4201.0,1459217224.485
60.480,6.944,21.212,11.364,0.0,0.0,1388544.0,1241088.0,128195.0,14466.0,61440.0,0.0,4796.0,4973.0,1459217225.485
95.875,4.0,0.125,0.0,0.0,0.0,0.0,589824.0,179.0,639.0,0.0,0.0,3021.0,2355.0,1459217226.485
96.509,3.491,0.0,0.0,0.0,0.0,4096.0,0.0,243.0,639.0,0.0,0.0,2761.0,2137.0,1459217227.485
94.375,5.625,0.0,0.0,0.0,0.0,77824.0,0.0,0.0,0.0,0.0,0.0,3080.0,2244.0,1459217228.485
92.723,5.144,1.882,0.125,0.0,0.125,434176.0,0.0,0.0,0.0,0.0,0.0,3432.0,3263.0,1459217229.485
97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12447.0,15165.0,0.0,0.0,2580.0,2945.0,1459217230.485
