"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_2500000000_0.35_6_100_teratest_5c58d16b-6ce3-49b0-9386-9b8831ab86b9.csv",,,,"Date:","29 Apr 2016 15:15:01 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.859,1.195,80.170,1.671,0.000,0.104,1771249.670,5538026.348,0.0,0.0,1923.426,1781.238,1549.336,1600.813,1461935701.260
0.125,0.0,99.501,0.375,0.0,0.0,0.0,81920.0,0.0,0.0,0.0,0.0,178.0,348.0,1461935702.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,6263.0,4955.0,0.0,0.0,139.0,293.0,1461935703.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,273.0,435.0,0.0,0.0,131.0,263.0,1461935704.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,901.0,0.0,0.0,125.0,266.0,1461935705.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,265.0,1461935706.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,422.0,682.0,0.0,0.0,141.0,293.0,1461935707.261
0.0,0.0,99.750,0.250,0.0,0.0,0.0,16384.0,229.0,901.0,0.0,0.0,130.0,260.0,1461935708.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,341.0,0.0,0.0,123.0,260.0,1461935709.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,264.0,1461935710.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,792.0,1242.0,0.0,0.0,140.0,288.0,1461935711.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,371.0,687.0,0.0,0.0,125.0,257.0,1461935712.261
0.0,0.0,99.625,0.375,0.0,0.0,0.0,49152.0,243.0,341.0,0.0,0.0,156.0,289.0,1461935713.261
0.0,0.250,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,251.0,1461935714.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,856.0,1242.0,0.0,0.0,135.0,277.0,1461935715.261
0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,276.0,1461935716.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,124.0,258.0,1461935717.261
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,260.0,1461935718.261
