"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_3000000000_0.35_24_100_teratest_0c6c8009-1bf7-4fb6-ad51-e8a3a0d462ff.csv",,,,"Date:","29 Apr 2016 14:46:28 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.862,1.195,80.167,1.672,0.000,0.104,1771510.341,5538882.214,0.0,0.0,1923.720,1781.513,1549.547,1601.007,1461933988.620
0.125,0.0,99.750,0.125,0.0,0.0,188416.0,0.0,619.0,597.0,0.0,0.0,190.0,346.0,1461933989.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,286720.0,463.0,469.0,0.0,0.0,226.0,291.0,1461933990.621
0.125,0.0,99.625,0.250,0.0,0.0,0.0,217088.0,705.0,1029.0,0.0,0.0,170.0,300.0,1461933991.621
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,527.0,533.0,0.0,0.0,151.0,276.0,1461933992.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,399.0,533.0,0.0,0.0,147.0,266.0,1461933993.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,312.0,1461933994.621
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,277.0,1461933995.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1119.0,2441.0,0.0,0.0,144.0,268.0,1461933996.621
0.125,0.0,99.501,0.375,0.0,0.0,0.0,20480.0,0.0,0.0,0.0,0.0,163.0,298.0,1461933997.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,784.0,1498.0,0.0,0.0,159.0,298.0,1461933998.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,491.0,597.0,0.0,0.0,147.0,268.0,1461933999.621
0.125,0.0,99.875,0.0,0.0,0.0,0.0,24576.0,641.0,1029.0,0.0,0.0,173.0,290.0,1461934000.621
0.125,0.0,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,277.0,1461934001.621
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,734.0,938.0,0.0,0.0,154.0,294.0,1461934002.621
