"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","clovertown03",,,,"User:","root"
"Cmdline:","dstat --all -T --output marc_log/teratest/4_67108864_3000000000_0.35_6_150_teratest_9ec0b746-2bb9-4dc3-9e1b-0511af749304.csv",,,,"Date:","29 Apr 2016 15:00:47 CEST"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","epoch"
16.861,1.195,80.169,1.671,0.000,0.104,1771386.266,5538453.057,0.0,0.0,1923.574,1781.375,1549.445,1600.915,1461934847.434
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,308.0,1461934848.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,6131.0,4389.0,0.0,0.0,138.0,272.0,1461934849.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,229.0,965.0,0.0,0.0,134.0,270.0,1461934850.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,179.0,405.0,0.0,0.0,141.0,280.0,1461934851.435
0.125,0.0,99.875,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,149.0,288.0,1461934852.435
0.0,0.0,99.625,0.375,0.0,0.0,0.0,45056.0,536.0,1242.0,0.0,0.0,131.0,266.0,1461934853.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,273.0,1461934854.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,230.0,682.0,0.0,0.0,147.0,292.0,1461934855.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,269.0,1461934856.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,600.0,1242.0,0.0,0.0,136.0,276.0,1461934857.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,273.0,1461934858.435
0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,472.0,1242.0,0.0,0.0,145.0,287.0,1461934859.435
