time,map,reduce,total,replication,blocksize,dimension,reduce_started,reducers,reduce_buffer_io,workload,reduce_started,shuffle,maps
1457719195,0,0,0,1,128000000,5700000000,75,12,100,776,0,0,44
1457719210,3,0,3,1,128000000,5700000000,75,12,100,776,0,0,44
1457719211,4,0,4,1,128000000,5700000000,75,12,100,776,0,0,44
1457719212,9,0,9,1,128000000,5700000000,75,12,100,776,0,0,44
1457719215,10,0,10,1,128000000,5700000000,75,12,100,776,0,0,44
1457719219,11,0,11,1,128000000,5700000000,75,12,100,776,0,0,44
1457719221,13,0,13,1,128000000,5700000000,75,12,100,776,0,0,44
1457719223,14,0,14,1,128000000,5700000000,75,12,100,776,0,0,44
1457719224,17,0,17,1,128000000,5700000000,75,12,100,776,0,0,44
1457719227,18,0,18,1,128000000,5700000000,75,12,100,776,0,0,44
1457719228,19,0,19,1,128000000,5700000000,75,12,100,776,0,0,44
1457719230,20,0,20,1,128000000,5700000000,75,12,100,776,0,0,44
1457719232,21,0,21,1,128000000,5700000000,75,12,100,776,0,0,44
1457719233,24,0,24,1,128000000,5700000000,75,12,100,776,0,0,44
1457719234,25,0,25,1,128000000,5700000000,75,12,100,776,0,0,44
1457719237,26,0,26,1,128000000,5700000000,75,12,100,776,0,0,44
1457719238,27,0,27,1,128000000,5700000000,75,12,100,776,0,0,44
1457719240,28,0,28,1,128000000,5700000000,75,12,100,776,0,0,44
1457719243,31,0,31,1,128000000,5700000000,75,12,100,776,0,0,44
1457719244,33,0,33,1,128000000,5700000000,75,12,100,776,0,0,44
1457719247,34,0,34,1,128000000,5700000000,75,12,100,776,0,0,44
1457719249,39,0,39,1,128000000,5700000000,75,12,100,776,0,0,44
1457719252,40,0,40,1,128000000,5700000000,75,12,100,776,0,0,44
1457719253,46,0,46,1,128000000,5700000000,75,12,100,776,0,0,44
1457719254,50,0,50,1,128000000,5700000000,75,12,100,776,0,0,44
1457719255,51,0,51,1,128000000,5700000000,75,12,100,776,0,0,44
1457719262,52,0,52,1,128000000,5700000000,75,12,100,776,0,0,44
1457719264,55,0,55,1,128000000,5700000000,75,12,100,776,0,0,44
1457719265,56,0,56,1,128000000,5700000000,75,12,100,776,0,0,44
1457719267,57,0,57,1,128000000,5700000000,75,12,100,776,0,0,44
1457719269,60,0,60,1,128000000,5700000000,75,12,100,776,0,0,44
1457719272,61,0,61,1,128000000,5700000000,75,12,100,776,0,0,44
1457719273,63,0,63,1,128000000,5700000000,75,12,100,776,0,0,44
1457719275,64,0,64,1,128000000,5700000000,75,12,100,776,0,0,44
1457719276,65,0,65,1,128000000,5700000000,75,12,100,776,0,0,44
1457719278,67,0,67,1,128000000,5700000000,75,12,100,776,0,0,44
1457719281,68,0,68,1,128000000,5700000000,75,12,100,776,0,0,44
1457719282,69,0,69,1,128000000,5700000000,75,12,100,776,0,0,44
1457719283,71,0,71,1,128000000,5700000000,75,12,100,776,0,0,44
1457719285,72,0,72,1,128000000,5700000000,75,12,100,776,0,0,44
1457719286,74,0,74,1,128000000,5700000000,75,12,100,776,0,0,44
1457719288,75,0,75,1,128000000,5700000000,75,12,100,776,0,0,44
1457719289,76,0,76,1,128000000,5700000000,75,12,100,776,1,0,44
1457719291,77,0,77,1,128000000,5700000000,75,12,100,776,1,0,44
1457719295,78,0,78,1,128000000,5700000000,75,12,100,776,1,0,44
1457719296,79,0,79,1,128000000,5700000000,75,12,100,776,1,0,44
1457719299,81,0,81,1,128000000,5700000000,75,12,100,776,1,0,44
1457719301,82,0,82,1,128000000,5700000000,75,12,100,776,1,0,44
1457719302,83,0,83,1,128000000,5700000000,75,12,100,776,1,0,44
1457719303,84,0,84,1,128000000,5700000000,75,12,100,776,1,0,44
1457719304,86,0,86,1,128000000,5700000000,75,12,100,776,1,0,44
1457719313,87,0,87,1,128000000,5700000000,75,12,100,776,1,0,44
1457719315,87,5,92,1,128000000,5700000000,75,12,100,776,1,0,44
1457719316,87,11,98,1,128000000,5700000000,75,12,100,776,1,0,44
1457719317,87,18,105,1,128000000,5700000000,75,12,100,776,1,0,44
1457719318,87,25,112,1,128000000,5700000000,75,12,100,776,1,0,44
1457719321,87,27,114,1,128000000,5700000000,75,12,100,776,1,0,44
1457719322,88,27,115,1,128000000,5700000000,75,12,100,776,1,0,44
1457719324,88,28,116,1,128000000,5700000000,75,12,100,776,1,0,44
1457719328,89,28,117,1,128000000,5700000000,75,12,100,776,1,0,44
1457719336,90,28,118,1,128000000,5700000000,75,12,100,776,1,0,44
1457719339,90,29,119,1,128000000,5700000000,75,12,100,776,1,0,44
1457719344,91,29,120,1,128000000,5700000000,75,12,100,776,1,0,44
1457719350,92,29,121,1,128000000,5700000000,75,12,100,776,1,0,44
1457719353,92,30,122,1,128000000,5700000000,75,12,100,776,1,0,44
1457719364,93,30,123,1,128000000,5700000000,75,12,100,776,1,0,44
1457719370,94,30,124,1,128000000,5700000000,75,12,100,776,1,0,44
1457719379,95,30,125,1,128000000,5700000000,75,12,100,776,1,0,44
1457719380,95,31,126,1,128000000,5700000000,75,12,100,776,1,0,44
1457719385,96,31,127,1,128000000,5700000000,75,12,100,776,1,0,44
1457719395,97,31,128,1,128000000,5700000000,75,12,100,776,1,0,44
1457719396,97,32,129,1,128000000,5700000000,75,12,100,776,1,0,44
1457719402,98,32,130,1,128000000,5700000000,75,12,100,776,1,0,44
1457719410,99,32,131,1,128000000,5700000000,75,12,100,776,1,0,44
1457719413,99,33,132,1,128000000,5700000000,75,12,100,776,1,0,44
1457719423,100,33,133,1,128000000,5700000000,75,12,100,776,1,0,44
1457719424,100,34,134,1,128000000,5700000000,75,12,100,776,1,1,44
1457719425,100,40,140,1,128000000,5700000000,75,12,100,776,1,1,44
1457719427,100,56,156,1,128000000,5700000000,75,12,100,776,1,1,44
